序号,性别（0=男）,新冠疫情是否让你焦虑（0=是）,消极or积极or二者之间（0=消极）,新冠疫情让您的家庭收入产生损失（0=是）,新冠疫情使您的报考学校扩大招生（0=是）,新冠疫情使您的备考过程更加困难（0=是）,新冠疫情期间，您是否坚持考研到最后（0=是）,测试集属性条件下坚持考研概率,测试集属性条件下放弃考研概率
468,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
469,1,0,0,0,0,0,1,0.004343815831887062,0.05009305875474409
470,1,0,2,0,1,1,1,0.0007034133319024338,0.0009410618055774209
471,0,0,2,1,1,0,1,0.0008241664213254108,0.0031164035325817927
472,0,0,0,0,1,0,1,0.0019626149713162454,0.06139523414271923
473,0,0,0,1,0,1,0,0.00686368491726251,0.0025627835092065588
474,1,0,2,1,1,0,0,0.0009962451246790683,0.002276329536842353
475,0,0,0,1,1,0,1,0.003227985150191193,0.01845869784683062
476,1,0,2,1,0,0,0,0.0018241107916658996,0.002542708525196245
477,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
478,1,0,2,0,0,0,1,0.0011090593613328672,0.00845726965989186
479,0,0,0,0,1,0,1,0.0019626149713162454,0.06139523414271923
480,1,0,0,0,0,0,1,0.004343815831887062,0.05009305875474409
481,1,0,2,0,1,0,1,0.0006057170358048735,0.007571269981236522
482,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
483,1,0,2,0,0,0,1,0.0011090593613328672,0.00845726965989186
484,1,0,0,0,1,1,1,0.0027550355499511986,0.005573981463804724
485,1,1,0,1,0,1,0,0.01949739067156438,0.00031933200145407555
486,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
487,0,0,2,1,1,0,1,0.0008241664213254108,0.0031164035325817927
488,1,0,2,1,0,0,0,0.0018241107916658996,0.002542708525196245
489,1,0,0,0,1,0,1,0.002372391723569088,0.0448452145042471
490,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
491,1,0,2,0,0,1,1,0.0012879399034833295,0.0010511860594215872
492,1,0,0,0,0,0,1,0.004343815831887062,0.05009305875474409
493,1,0,2,0,1,1,0,0.0007034133319024338,0.0009410618055774209
494,1,0,0,0,1,0,1,0.002372391723569088,0.0448452145042471
495,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
496,1,0,0,0,1,1,1,0.0027550355499511986,0.005573981463804724
497,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
498,1,0,2,1,0,1,0,0.0021183222096765285,0.0003160428675385164
499,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
500,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
501,1,0,0,0,1,1,1,0.0027550355499511986,0.005573981463804724
502,0,0,0,0,1,0,1,0.0019626149713162454,0.06139523414271923
503,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
504,1,0,0,1,1,0,0,0.0039019600716596837,0.013482874948989322
505,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
506,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
507,1,0,0,1,0,0,0,0.007144433934024774,0.015060658187700837
508,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
509,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
510,1,0,0,1,0,0,0,0.007144433934024774,0.015060658187700837
511,0,0,2,1,0,1,0,0.0017524301916414917,0.0004326777353205879
512,1,0,2,0,0,0,1,0.0011090593613328672,0.00845726965989186
513,0,0,0,1,1,0,1,0.003227985150191193,0.01845869784683062
514,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
515,1,1,0,1,1,1,0,0.010648574905239006,0.0002858781727303153
516,0,0,0,1,1,1,0,0.0037486279163510628,0.0022943014272896814
517,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
